Diameter of Largest Included Sphere (A),Diameter of Largest Free Sphere (A),Diameter of Largest Included Sphere Along Free Sphere Path (A),Unit Cell Volume (A^3),Density (g/cm^3),AV per unit cell (A^3),AV Void Fraction,AV per mass (cm^3/g),NAV per unit cell (A^3),NAV Void Fraction,NAV per mass (cm^3/g),ASA per unit cell (A^2),ASA (m^2/cm^3),ASA per mass (m^2/g),NASA per unit cell (A^2),NASA (m^2/cm^3),NASA per mass (m^2/g),y
11.52195,10.01125,11.52195,7928.54,0.60901,4394.95,0.55432,0.910198,0,0,0,1666.03,2101.3,3450.36,0,0,0,0
7.47283,6.36485,7.47283,4304.2,1.43147,1141.3,0.26516,0.185236,0,0,0,1057.09,2455.95,1715.68,0,0,0,0
7.86989,4.20648,7.86989,4286.56,1.3867,894.691,0.20872,0.150516,0,0,0,1040.85,2428.17,1751.04,0,0,0,0
7.85265,5.70722,7.71772,4271.77,1.13975,1138.51,0.26652,0.233842,0,0,0,1095.52,2564.55,2250.11,0,0,0,0
7.22989,4.45533,6.97409,4295.45,1.18441,1051.01,0.24468,0.206583,0,0,0,1095.39,2550.12,2153.07,0,0,0,0
13.42714,11.71716,13.42714,10824.2,0.471913,6768.35,0.6253,1.32503,0,0,0,1979.84,1829.09,3875.9,0,0,0,0
8.29914,6.55204,8.29914,4305.24,1.14923,1354.34,0.31458,0.273732,0,0,0,1093.88,2540.82,2210.89,0,0,0,0
12.90143,9.84556,12.68786,9450.26,0.570005,5471.14,0.57894,1.01567,0,0,0,1834.7,1941.43,3405.98,0,0,0,0
12.54646,9.7557,12.33168,9495.39,0.565232,5460.8,0.5751,1.01746,0,0,0,1866.49,1965.68,3477.66,0,0,0,0
8.1627,6.5107,8.14637,4277.44,1.14284,1227.97,0.28708,0.251199,0,0,0,1029.34,2406.43,2105.66,0,0,0,0
7.80517,5.08502,7.56206,4297.81,1.27643,1076.09,0.25038,0.196156,0,0,0,1050.4,2444.03,1914.74,0,0,0,0
7.5461,5.21138,7.43266,4294.91,1.14275,1241.4,0.28904,0.252933,0,0,0,1167.89,2719.23,2379.54,0,0,0,0
7.26107,4.97264,7.23261,4297.14,1.21667,1182.4,0.27516,0.226159,0,0,0,1149.45,2674.93,2198.57,0,0,0,0
13.45002,11.21614,13.45002,10059,0.567339,5895.17,0.58606,1.033,0,0,0,1889.16,1878.09,3310.34,0,0,0,0
16.29892,14.1683,16.29892,12701.8,0.398991,8581.08,0.67558,1.69322,0,0,0,2085.66,1642.02,4115.44,0,0,0,0
15.19712,14.11251,15.19712,12691.8,0.399304,8587.54,0.67662,1.6945,0,0,0,2082.76,1641.03,4109.72,0,0,0,0
7.78464,4.98197,7.68283,4268.07,1.81193,1010,0.23664,0.130601,0,0,0,1044.78,2447.91,1350.99,0,0,0,0
